id,lemma,pos,definition,ipa,audioUrlUS,audioUrlUK,cefr,frequency,etymology,notes,forms_json,collocations_json
cmh9iqq5v0000m8uw0vr4mcth,a,X,,,,,,,,,{},[]
cmh9iqqg80001m8uwnj3mzl43,abandonné,X,,,,,,,,,{},[]
cmh9iqqn20002m8uwkse58bcl,abandonnés,X,,,,,,,,,{},[]
cmh9iqqty0003m8uwt1nt7sg0,abdülah,X,,,,,,,,,{},[]
cmh9iqr0r0004m8uwd1d39qnh,aboutit,X,,,,,,,,,{},[]
cmh9iqr7l0005m8uwd45il585,aboyant,X,,,,,,,,,{},[]
cmh9iqree0006m8uwriclsrax,abreuver,X,,,,,,,,,{},[]
cmh9iqrl70007m8uwttqtoqba,absence,X,,,,,,,,,{},[]
cmh9iqrs20008m8uwzwuj9psi,accent,X,,,,,,,,,{},[]
cmh9iqryv0009m8uwdmrwvivy,acceptant,X,,,,,,,,,{},[]
cmh9iqs5p000am8uw8lh2rqtz,accepte,X,,,,,,,,,{},[]
cmh9iqscr000bm8uwm7yg7vaw,acceptez,X,,,,,,,,,{},[]
cmh9iqsjl000cm8uw1ptey2mq,accident,X,,,,,,,,,{},[]
cmh9iqsqf000dm8uwz9vvu788,accorte,X,,,,,,,,,{},[]
cmh9iqsxb000em8uwqrr9idk3,accoucher,X,,,,,,,,,{},[]
cmh9iqt48000fm8uwg7yss0k6,accrocher,X,,,,,,,,,{},[]
cmh9iqtb1000gm8uwhpew3pid,accroché,X,,,,,,,,,{},[]
cmh9iqthw000hm8uw2b1cmxw0,accueillent,X,,,,,,,,,{},[]
cmh9iqtos000im8uw30p0dpzg,acheter,X,,,,,,,,,{},[]
cmh9iqtvn000jm8uwby5nt10z,achetâmes,X,,,,,,,,,{},[]
cmh9iqu2i000km8uwhs35k5ty,acheté,X,,,,,,,,,{},[]
cmh9iqu9d000lm8uwjjgjx8ks,achetée,X,,,,,,,,,{},[]
cmh9iqug9000mm8uw0bkripie,achèteira,X,,,,,,,,,{},[]
cmh9iqun5000nm8uwa3m7e2mv,acrimonie,X,,,,,,,,,{},[]
cmh9iquu0000om8uwsb1oy1iu,adam,X,,,,,,,,,{},[]
cmh9iqv0v000pm8uw8urg0awi,adieu,X,,,,,,,,,{},[]
cmh9iqv7r000qm8uw5l1srljt,adieux,X,,,,,,,,,{},[]
cmh9iqven000rm8uw7xphtui9,admirables,X,,,,,,,,,{},[]
cmh9iqvlg000sm8uw5mbr2xc5,admirait,X,,,,,,,,,{},[]
cmh9iqvsa000tm8uwq4lw71lg,admirant,X,,,,,,,,,{},[]
cmh9iqvz6000um8uw49kl7pca,admire,X,,,,,,,,,{},[]
cmh9iqw60000vm8uwp3c4z2w3,admireront,X,,,,,,,,,{},[]
cmh9iqwcw000wm8uwf3pu0udp,adolescent,X,,,,,,,,,{},[]
cmh9iqwjr000xm8uwav3x29e4,adorable,X,,,,,,,,,{},[]
cmh9iqwqo000ym8uwmeywvnal,adorer,X,,,,,,,,,{},[]
cmh9iqwxj000zm8uw2l24yq1n,adoré,X,,,,,,,,,{},[]
cmh9iqx4e0010m8uwwoip9isw,affaissé,X,,,,,,,,,{},[]
cmh9iqxb80011m8uwlizlepd6,affronter,X,,,,,,,,,{},[]
cmh9iqxi30012m8uw1cgqv2fe,afin,X,,,,,,,,,{},[]
cmh9iqxp00013m8uwxhanqq1v,africains,X,,,,,,,,,{},[]
cmh9iqxvx0014m8uw7mxxacx2,agathe,X,,,,,,,,,{},[]
cmh9iqy2t0015m8uwganxs24d,agile,X,,,,,,,,,{},[]
cmh9iqy9p0016m8uw8fys2ccs,agiles,X,,,,,,,,,{},[]
cmh9iqygk0017m8uwrapn4rbv,agneaux,X,,,,,,,,,{},[]
cmh9iqyng0018m8uwlp54olno,ah,X,,,,,,,,,{},[]
cmh9iqyu90019m8uwikd74a2i,ai,X,,,,,,,,,{},[]
cmh9iqz13001am8uws9xqiw5y,aidant,X,,,,,,,,,{},[]
cmh9iqz7y001bm8uwjmfkgtbs,aieux,X,,,,,,,,,{},[]
cmh9iqzeu001cm8uw0b53z5y1,aigu,X,,,,,,,,,{},[]
cmh9iqzlq001dm8uwjuapuv61,ail,X,,,,,,,,,{},[]
cmh9iqzsl001em8uwvv3e1etf,aile,X,,,,,,,,,{},[]
cmh9iqzzh001fm8uwiqkpg09t,ailes,X,,,,,,,,,{},[]
cmh9ir06c001gm8uwj3mmw15l,ailleurs,X,,,,,,,,,{},[]
cmh9ir0d7001hm8uwayeldyei,ailé,X,,,,,,,,,{},[]
cmh9ir0k1001im8uw468r1oa5,aimables,X,,,,,,,,,{},[]
cmh9ir0qv001jm8uwbfx76bsy,aimais,X,,,,,,,,,{},[]
cmh9ir0xt001km8uwtw25ugsn,aimait,X,,,,,,,,,{},[]
cmh9ir182001lm8uwuv3w8j0h,aime,X,,,,,,,,,{},[]
cmh9ir1ew001mm8uwga6lf35g,aiment,X,,,,,,,,,{},[]
cmh9ir1ls001nm8uwiw29tpql,aimer,X,,,,,,,,,{},[]
cmh9ir1so001om8uw2h3or8ef,aimerai,X,,,,,,,,,{},[]
cmh9ir1zi001pm8uwooy0c9u6,aimerons,X,,,,,,,,,{},[]
cmh9ir26e001qm8uwglsi5pj3,aimez,X,,,,,,,,,{},[]
cmh9ir2d9001rm8uw1mh6v7co,aimé,X,,,,,,,,,{},[]
cmh9ir2k4001sm8uwgy03q8wx,aimées,X,,,,,,,,,{},[]
cmh9ir2qz001tm8uw49q6qrrm,aimés,X,,,,,,,,,{},[]
cmh9ir2xu001um8uw4nz9jadv,ainsi,X,,,,,,,,,{},[]
cmh9ir34q001vm8uw30octiz3,ainées,X,,,,,,,,,{},[]
cmh9ir3c7001wm8uwpdfs572a,ainés,X,,,,,,,,,{},[]
cmh9ir3j0001xm8uwys9rc05l,air,X,,,,,,,,,{},[]
cmh9ir3pv001ym8uwjpwm7dpu,ajouter,X,,,,,,,,,{},[]
cmh9ir3wq001zm8uwd76xcx9e,alcanter,X,,,,,,,,,{},[]
cmh9ir43m0020m8uwky9280d1,alentours,X,,,,,,,,,{},[]
cmh9ir4ah0021m8uwq78fwtgj,algues,X,,,,,,,,,{},[]
cmh9ir4hd0022m8uw5bhes0ue,alhambra,X,,,,,,,,,{},[]
cmh9ir4o80023m8uwaotl696b,aligner,X,,,,,,,,,{},[]
cmh9ir4v30024m8uw24ay2zme,alignées,X,,,,,,,,,{},[]
cmh9ir51y0025m8uwc41yv4zs,alignés,X,,,,,,,,,{},[]
cmh9ir58t0026m8uwcz5yehgh,allaient,X,,,,,,,,,{},[]
cmh9ir5fo0027m8uwlfhj5po2,allait,X,,,,,,,,,{},[]
cmh9ir5mi0028m8uwa5y9r8ii,allant,X,,,,,,,,,{},[]
cmh9ir5td0029m8uw1jzihlgn,aller,X,,,,,,,,,{},[]
cmh9ir609002am8uw2npitaj0,allez,X,,,,,,,,,{},[]
cmh9ir676002bm8uwzgezt47v,alliance,X,,,,,,,,,{},[]
cmh9ir6e1002cm8uwrb5r8zx0,allions,X,,,,,,,,,{},[]
cmh9ir6kw002dm8uwrzt6a74z,allongé,X,,,,,,,,,{},[]
cmh9ir6rq002em8uw9yjxgmrf,allons,X,,,,,,,,,{},[]
cmh9ir6yl002fm8uwl46ah401,alluma,X,,,,,,,,,{},[]
cmh9ir75j002gm8uwjd2rxuub,allé,X,,,,,,,,,{},[]
