id,lemma,pos,definition,ipa,audioUrlUS,audioUrlUK,cefr,frequency,etymology,notes,forms_json,collocations_json
cmh9iqq5v0000m8uw0vr4mcth,a,X,Première lettre et première voyelle de l’alphabet.,\ɑ\,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/9b/LL-Q150_(fra)-Lepticed7-A.wav/LL-Q150_(fra)-Lepticed7-A.wav.mp3,,,high,,,{},[]
cmh9iqqg80001m8uwnj3mzl43,abandonné,X,Qui a été laissé seul.,\a.bɑ̃.dɔ.ne\,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f6/LL-Q150_(fra)-Lepticed7-abandonné.wav/LL-Q150_(fra)-Lepticed7-abandonné.wav.mp3,,,medium,Du verbe « abandonner ».,,{},[]
cmh9iqqn20002m8uwkse58bcl,abandonnés,X,Masculin pluriel de abandonné.,\a.bɑ̃.dɔ.ne\,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b2/LL-Q150_(fra)-WikiLucas00-abandonnés.wav/LL-Q150_(fra)-WikiLucas00-abandonnés.wav.mp3,,,,,,{},[]
cmh9iqqty0003m8uwt1nt7sg0,abdülah,X,,,,,,,,,{},[]
cmh9iqr0r0004m8uwd1d39qnh,aboutit,X,Troisième personne du singulier de l’indicatif présent de aboutir.,\a.bu.ti\,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/de/LL-Q150_(fra)-Sagnamadr-aboutit.wav/LL-Q150_(fra)-Sagnamadr-aboutit.wav.mp3,,,,,,{},[]
cmh9iqr7l0005m8uwd45il585,aboyant,X,Qui aboie.,\a.bwa.jɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/7d/LL-Q150_(fra)-WikiLucas00-aboyant.wav/LL-Q150_(fra)-WikiLucas00-aboyant.wav.mp3,,,low,,,{},[]
cmh9iqree0006m8uwriclsrax,abreuver,X,"Faire boire (un animal, particulièrement un cheval).",\a.bʁœ.ve\,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/fe/LL-Q150_(fra)-Pamputt-abreuver.wav/LL-Q150_(fra)-Pamputt-abreuver.wav.mp3,,,low,"Du latin adbibere devenu abbiberare en latin populaire, et dérivé de bibere (« boire »).",,{},[]
cmh9iqrl70007m8uwttqtoqba,absence,X,Inexistence.,\ap.sɑ̃s\,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3c/Fr-absence.ogg/Fr-absence.ogg.mp3,,,high,"Du latin absentia, lui-même issu de absēns (« absent »), participe présent de absum (« être absent »).",,{},[]
cmh9iqrs20008m8uwzwuj9psi,accent,X,"Élévation de la voix sur une syllabe, dans un mot, modification de la voix dans la durée ou dans le ton des syllabes et des mots.",\ak.sɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/77/Fr-accent.ogg/Fr-accent.ogg.mp3,,,medium,"^([3]) Apparaît la première fois dans Li livres dou tresor, de Brunetto Latini^([3]). Du latin accentus (« intonation, son, ton »)^([3])^([4]). Le Grand Robert le fait venir de l’ancien français aucent (1220) sans préciser le sens d’aucent, qui signifie « conte, récit » selon Godefroy. Le mot décrit à l’origine les intonations de voix dans la parole puis les sons d’un instrument^([4]). Il désigne les signes graphiques dès (1549), puis les inflexions de la voix en (1559) et enfin les différentes prononciations d’un lieu en (1680).",,{},[]
cmh9iqryv0009m8uwdmrwvivy,acceptant,X,"Qui accepte, donne son consentement à une convention.",\ak.sɛp.tɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/80/LL-Q150_(fra)-WikiLucas00-acceptant.wav/LL-Q150_(fra)-WikiLucas00-acceptant.wav.mp3,,,low,(1464) Dérivé de accepter.,,{},[]
cmh9iqs5p000am8uw8lh2rqtz,accepte,X,Première personne du singulier de l’indicatif présent du verbe accepter.,\ak.sɛpt\,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0c/LL-Q150_(fra)-WikiLucas00-accepte.wav/LL-Q150_(fra)-WikiLucas00-accepte.wav.mp3,,,,,,{},[]
cmh9iqscr000bm8uwm7yg7vaw,acceptez,X,Deuxième personne du pluriel de l’indicatif présent du verbe accepter.,\ak.sɛp.te\,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/62/LL-Q150_(fra)-Lyokoï-acceptez.wav/LL-Q150_(fra)-Lyokoï-acceptez.wav.mp3,,,,,,{},[]
cmh9iqsjl000cm8uw1ptey2mq,accident,X,Événement inattendu qui survient par hasard.,\ak.si.dɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/ea/Fr-accident.ogg/Fr-accident.ogg.mp3,,,medium,"Du latin accidens, lui-même du verbe latin accidere (« survenir »).",,{},[]
cmh9iqsqf000dm8uwz9vvu788,accorte,X,Féminin singulier d’accort.,\a.kɔʁt\,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/31/LL-Q150_(fra)-WikiLucas00-accorte.wav/LL-Q150_(fra)-WikiLucas00-accorte.wav.mp3,,,,,,{},[]
cmh9iqsxb000em8uwqrr9idk3,accoucher,X,Mettre au monde un enfant.,\a.ku.ʃe\,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/78/Fr-accoucher.ogg/Fr-accoucher.ogg.mp3,,,low,"Dérivé d’a- et de coucher. À la fin du XIIᵉ siècle, accoucher signifiait « se coucher ».",,{},[]
cmh9iqt48000fm8uwg7yss0k6,accrocher,X,"Attacher, suspendre à un crochet, à un clou, à un portemanteau, etc.",\a.kʁɔ.ʃe\,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/ef/Fr-accrocher.ogg/Fr-accrocher.ogg.mp3,,,high,"Dérivé de croc, avec le préfixe a- et le suffixe -er.",,{},[]
cmh9iqtb1000gm8uwhpew3pid,accroché,X,"Qui est suspendu à un élément physique (crochet, clou, cintre, etc.).",\a.kʁɔ.ʃe\,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f5/LL-Q150_(fra)-LoquaxFR-accroché.wav/LL-Q150_(fra)-LoquaxFR-accroché.wav.mp3,,,low,Adjectivation du participe passé de accrocher.,,{},[]
cmh9iqthw000hm8uw2b1cmxw0,accueillent,X,Troisième personne du pluriel de l’indicatif présent de accueillir.,\a.kœj\,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b8/LL-Q150_(fra)-DenisdeShawi-accueillent.wav/LL-Q150_(fra)-DenisdeShawi-accueillent.wav.mp3,,,,,,{},[]
cmh9iqtos000im8uw30p0dpzg,acheter,X,Acquérir quelque chose en l’échangeant contre sa valeur en devise.,\a.ʃə.te\,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/53/Fr-acheter.ogg/Fr-acheter.ogg.mp3,,,high,"De l’ancien français achater, du latin populaire *accaptare, renforcement avec ad- de captare « chercher à prendre, à saisir, capter », fréquentatif de capĕre, « prendre ». Une autre hypothèse suggère une réfection, sous l’influence de captare, du latin classique acceptare, doublet de accipĕre, avec le sens de « prendre à soi », donc « obtenir, acquérir », d’où « acheter » (cf. emĕre qui voulait primitivement dire « prendre » et qui s’était spécialisé au sens d’« acheter » dès l’époque littéraire).",,{},[]
cmh9iqtvn000jm8uwby5nt10z,achetâmes,X,Première personne du pluriel du passé simple du verbe acheter.,\a.ʃə.tam\,,,,,,,{},[]
cmh9iqu2i000km8uwhs35k5ty,acheté,X,Qui a été acheté.,\a.ʃə.te\,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d8/LL-Q150_(fra)-WikiLucas00-acheté.wav/LL-Q150_(fra)-WikiLucas00-acheté.wav.mp3,,,,,,{},[]
cmh9iqu9d000lm8uwjjgjx8ks,achetée,X,Participe passé féminin singulier du verbe acheter.,\a.ʃə.te\,,,,,,,{},[]
cmh9iqug9000mm8uw0bkripie,achèteira,X,,,,,,,,,{},[]
cmh9iqun5000nm8uwa3m7e2mv,acrimonie,X,Agressivité verbale due à une mauvaise humeur.,\a.kʁi.mɔ.ni\,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c9/LL-Q150_(fra)-LoquaxFR-acrimonie.wav/LL-Q150_(fra)-LoquaxFR-acrimonie.wav.mp3,,,low,Du latin acrimonia.,,{},[]
cmh9iquu0000om8uwsb1oy1iu,adam,X,"Selon la Bible, le premier homme vivant sur la Terre.",\a.dɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/9f/Fr-Adam.oga/Fr-Adam.oga.mp3,,,,"Du latin Adam, emprunté à l’hébreu ancien אדם, adam, de אדמה, adama (« terre »).",,{},[]
cmh9iqv0v000pm8uw8urg0awi,adieu,X,"Terme de civilité et d’amitié dont on se sert en prenant congé de quelqu’un qu’on ne reverra plus pendant une longue période, si ce n’est jamais.",\a.djø\,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/ef/Fr-adieu.ogg/Fr-adieu.ogg.mp3,,,medium,"Forme elliptique de l’expression d’ancien français a Dieu vos comant (« je te/vous recommande (confie) à Dieu »), issu du latin ad Deum (« à Dieu »).",,{},[]
cmh9iqv7r000qm8uw5l1srljt,adieux,X,Pluriel de adieu.,\a.djø\,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/40/LL-Q150_(fra)-WikiLucas00-adieux.wav/LL-Q150_(fra)-WikiLucas00-adieux.wav.mp3,,,,,,{},[]
cmh9iqven000rm8uw7xphtui9,admirables,X,Pluriel de admirable.,\ad.mi.ʁabl\,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/96/LL-Q150_(fra)-DenisdeShawi-admirables.wav/LL-Q150_(fra)-DenisdeShawi-admirables.wav.mp3,,,,,,{},[]
cmh9iqvlg000sm8uw5mbr2xc5,admirait,X,Troisième personne du singulier de l’indicatif imparfait du verbe admirer.,\ad.mi.ʁɛ\,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/47/LL-Q150_(fra)-WikiLucas00-admirait.wav/LL-Q150_(fra)-WikiLucas00-admirait.wav.mp3,,,,,,{},[]
cmh9iqvsa000tm8uwq4lw71lg,admirant,X,Qui admire.,\ad.mi.ʁɑ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/49/LL-Q150_(fra)-Mecanautes-admirant.wav/LL-Q150_(fra)-Mecanautes-admirant.wav.mp3,,,,,,{},[]
cmh9iqvz6000um8uw49kl7pca,admire,X,Première personne du singulier de l’indicatif présent du verbe admirer.,\ad.miʁ\,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/58/LL-Q150_(fra)-WikiLucas00-admire.wav/LL-Q150_(fra)-WikiLucas00-admire.wav.mp3,,,,,,{},[]
cmh9iqw60000vm8uwp3c4z2w3,admireront,X,Troisième personne du pluriel du futur du verbe admirer.,\ad.mi.ʁə.ʁɔ̃\,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4e/LL-Q150_(fra)-WikiLucas00-admireront.wav/LL-Q150_(fra)-WikiLucas00-admireront.wav.mp3,,,,,,{},[]
